18-07-2019 22:55:30.340 [main] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.pmt.app.PmtApplicationTests], using SpringBootContextLoader
18-07-2019 22:55:30.358 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.pmt.app.PmtApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
18-07-2019 22:55:30.359 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.pmt.app.PmtApplicationTests]: PmtApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
18-07-2019 22:55:30.751 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.pmt.app.PmtApplication for test class com.pmt.app.PmtApplicationTests
18-07-2019 22:55:30.756 [main] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
18-07-2019 22:55:30.811 [main] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@656a3d6b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@25b38203, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@778a1250, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@55acec99, org.springframework.test.context.support.DirtiesContextTestExecutionListener@61191222, org.springframework.test.context.transaction.TransactionalTestExecutionListener@58833798, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7f3ca64a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4d464510, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@64e7d698, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2519026b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3f8dfe74, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@401c4250]
18-07-2019 22:55:32.284 [main] INFO  com.pmt.app.PmtApplicationTests - Starting PmtApplicationTests on LTUS83682 with PID 17460 (started by 205532 in C:\ConnectMe\pmt)
18-07-2019 22:55:32.289 [main] INFO  com.pmt.app.PmtApplicationTests - No active profile set, falling back to default profiles: default
18-07-2019 22:55:33.627 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
18-07-2019 22:55:33.895 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 226ms. Found 1 repository interfaces.
18-07-2019 22:55:34.058 [main] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
